Time	Ch 0
[s]	[V]
0.020820	-2.401149
0.020840	-2.500470
0.020860	-2.601107
0.020880	-2.665239
0.020900	-2.735619
0.020920	-2.776400
0.020940	-2.800079
0.020960	-2.825074
0.020980	-2.809616
0.021000	-2.787253
0.021020	-2.757325
0.021040	-2.685958
0.021060	-2.625773
0.021080	-2.539278
0.021100	-2.431406
0.021120	-2.317943
0.021140	-2.190996
0.021160	-2.041356
0.021180	-1.886125
0.021200	-1.722015
0.021220	-1.537514
0.021240	-1.355644
0.021260	-1.154041
0.021280	-0.949808
0.021300	-0.741628
0.021320	-0.528514
0.021340	-0.309481
0.021360	-0.083870
0.021380	0.134505
0.021400	0.353539
0.021420	0.584741
0.021440	0.797525
0.021460	1.012941
0.021480	1.222108
0.021500	1.425026
0.021520	1.620381
0.021540	1.806197
0.021560	1.984450
0.021580	2.151850
0.021600	2.303792
0.021620	2.453103
0.021640	2.582682
0.021660	2.697132
0.021680	2.797111
0.021700	2.889197
0.021720	2.950698
0.021740	3.006607
0.021760	3.043442
0.021780	3.067779
0.021800	3.077974
0.021820	3.055611
0.021840	3.026011
0.021860	2.989506
0.021880	2.918797
0.021900	2.844799
0.021920	2.751068
0.021940	2.638262
0.021960	2.522168
0.021980	2.382723
0.022000	2.224532
0.022020	2.069301
0.022040	1.890719
0.022060	1.708520
0.022080	1.508891
0.022100	1.306630
0.022120	1.097134
0.022140	0.880732
0.022160	0.661040
0.022180	0.427536
0.022200	0.202583
0.022220	-0.023685
0.022240	-0.258505
0.022260	-0.479511
0.022280	-0.709069
0.022300	-0.927115
0.022320	-1.138913
0.022340	-1.358604
0.022360	-1.557575
0.022380	-1.757862
0.022400	-1.937759
0.022420	-2.108118
0.022440	-2.268611
0.022460	-2.427130
0.022480	-2.565259
0.022500	-2.689904
0.022520	-2.792515
0.022540	-2.889205
0.022560	-2.959914
0.022580	-3.030952
0.022600	-3.071075
0.022620	-3.096070
0.022640	-3.115145
0.022660	-3.108567
0.022680	-3.084888
0.022700	-3.047396
0.022720	-2.985895
0.022740	-2.928999
0.022760	-2.838558
0.022780	-2.733974
0.022800	-2.619196
0.022820	-2.488302
0.022840	-2.340306
0.022860	-2.184418
0.022880	-2.016032
0.022900	-1.844686
0.022920	-1.654266
0.022940	-1.458912
0.022960	-1.254349
0.022980	-1.042223
0.023000	-0.833056
0.023020	-0.612707
0.023040	-0.390385
0.023060	-0.167405
0.023080	0.056890
0.023100	0.275923
0.023120	0.489695
0.023140	0.710701
0.023160	0.915922
0.023180	1.118511
0.023200	1.319127
0.023220	1.504944
0.023240	1.681223
0.023260	1.855200
0.023280	2.001881
0.023300	2.150205
0.023320	2.285375
0.023340	2.395549
0.023360	2.499475
0.023380	2.587615
0.023400	2.648458
0.023420	2.712589
0.023440	2.751726
0.023460	2.772774
0.023480	2.782312
0.023500	2.765539
0.023520	2.736597
0.023540	2.689567
0.023560	2.622805
0.023580	2.550451
0.023600	2.458694
0.023620	2.346546
0.023640	2.223545
0.023660	2.091007
0.023680	1.935118
0.023700	1.768705
0.023720	1.598675
0.023740	1.417791
0.023760	1.220793
0.023780	1.017874
0.023800	0.808707
0.023820	0.595594
0.023840	0.368996
0.023860	0.142399
0.023880	-0.082883
0.023900	-0.311125
0.023920	-0.544300
0.023940	-0.769253
0.023960	-0.995851
0.023980	-1.212582
0.024000	-1.434904
0.024020	-1.645386
0.024040	-1.845344
0.024060	-2.043000
0.024080	-2.226843
0.024100	-2.401807
0.024120	-2.558682
0.024140	-2.713255
0.024160	-2.857633
0.024180	-2.978989
0.024200	-3.083901
0.024220	-3.183551
0.024240	-3.254260
0.024260	-3.324969
0.024280	-3.363777
0.024300	-3.394691
0.024320	-3.414753
0.024340	-3.404887
0.024360	-3.380550
0.024380	-3.346346
0.024400	-3.285504
0.024420	-3.221372
0.024440	-3.133891
0.024460	-3.029636
0.024480	-2.919133
0.024500	-2.784950
0.024520	-2.635311
0.024540	-2.490275
0.024560	-2.318272
0.024580	-2.146926
0.024600	-1.954861
0.024620	-1.760165
0.024640	-1.557247
0.024660	-1.343804
0.024680	-1.134309
0.024700	-0.913960
0.024720	-0.690980
0.024740	-0.473591
0.024760	-0.247323
0.024780	-0.025330
0.024800	0.190086
0.024820	0.404186
0.024840	0.614669
0.024860	0.825480
0.024880	1.015901
0.024900	1.202375
0.024920	1.385561
0.024940	1.548685
0.024960	1.705231
0.024980	1.851912
0.025000	1.983463
0.025020	2.101860
0.025040	2.201839
0.025060	2.296228
0.025080	2.353124
0.025100	2.414295
0.025120	2.456392
0.025140	2.474151
0.025160	2.485004
0.025180	2.469218
0.025200	2.440277
0.025220	2.403771
0.025240	2.327800
0.025260	2.257091
0.025280	2.166320
0.025300	2.057132
0.025320	1.933803
0.025340	1.798633
0.025360	1.647678
0.025380	1.488171
0.025400	1.312550
0.025420	1.131337
0.025440	0.936312
0.025460	0.732078
